"Label (Grouping)","Iowa!!All families!!Total!!Estimate","Iowa!!All families!!Total!!Margin of Error","Iowa!!All families!!Percent below poverty level!!Estimate","Iowa!!All families!!Percent below poverty level!!Margin of Error","Iowa!!Married-couple families!!Total!!Estimate","Iowa!!Married-couple families!!Total!!Margin of Error","Iowa!!Married-couple families!!Percent below poverty level!!Estimate","Iowa!!Married-couple families!!Percent below poverty level!!Margin of Error","Iowa!!Female householder, no spouse present!!Total!!Estimate","Iowa!!Female householder, no spouse present!!Total!!Margin of Error","Iowa!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Iowa!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","Minnesota!!All families!!Total!!Estimate","Minnesota!!All families!!Total!!Margin of Error","Minnesota!!All families!!Percent below poverty level!!Estimate","Minnesota!!All families!!Percent below poverty level!!Margin of Error","Minnesota!!Married-couple families!!Total!!Estimate","Minnesota!!Married-couple families!!Total!!Margin of Error","Minnesota!!Married-couple families!!Percent below poverty level!!Estimate","Minnesota!!Married-couple families!!Percent below poverty level!!Margin of Error","Minnesota!!Female householder, no spouse present!!Total!!Estimate","Minnesota!!Female householder, no spouse present!!Total!!Margin of Error","Minnesota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Minnesota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","Nebraska!!All families!!Total!!Estimate","Nebraska!!All families!!Total!!Margin of Error","Nebraska!!All families!!Percent below poverty level!!Estimate","Nebraska!!All families!!Percent below poverty level!!Margin of Error","Nebraska!!Married-couple families!!Total!!Estimate","Nebraska!!Married-couple families!!Total!!Margin of Error","Nebraska!!Married-couple families!!Percent below poverty level!!Estimate","Nebraska!!Married-couple families!!Percent below poverty level!!Margin of Error","Nebraska!!Female householder, no spouse present!!Total!!Estimate","Nebraska!!Female householder, no spouse present!!Total!!Margin of Error","Nebraska!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Nebraska!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","North Dakota!!All families!!Total!!Estimate","North Dakota!!All families!!Total!!Margin of Error","North Dakota!!All families!!Percent below poverty level!!Estimate","North Dakota!!All families!!Percent below poverty level!!Margin of Error","North Dakota!!Married-couple families!!Total!!Estimate","North Dakota!!Married-couple families!!Total!!Margin of Error","North Dakota!!Married-couple families!!Percent below poverty level!!Estimate","North Dakota!!Married-couple families!!Percent below poverty level!!Margin of Error","North Dakota!!Female householder, no spouse present!!Total!!Estimate","North Dakota!!Female householder, no spouse present!!Total!!Margin of Error","North Dakota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","North Dakota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","South Dakota!!All families!!Total!!Estimate","South Dakota!!All families!!Total!!Margin of Error","South Dakota!!All families!!Percent below poverty level!!Estimate","South Dakota!!All families!!Percent below poverty level!!Margin of Error","South Dakota!!Married-couple families!!Total!!Estimate","South Dakota!!Married-couple families!!Total!!Margin of Error","South Dakota!!Married-couple families!!Percent below poverty level!!Estimate","South Dakota!!Married-couple families!!Percent below poverty level!!Margin of Error","South Dakota!!Female householder, no spouse present!!Total!!Estimate","South Dakota!!Female householder, no spouse present!!Total!!Margin of Error","South Dakota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","South Dakota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error"
"    NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        No workers","118,893","±3,494","12.1%","±1.4","103,972","±3,418","7.1%","±1.1","11,499","±1,631","49.2%","±8.9","202,509","±4,643","13.0%","±1.2","176,985","±4,153","7.4%","±0.9","18,549","±1,941","53.4%","±6.2","62,892","±3,342","17.9%","±2.6","53,771","±2,811","10.1%","±1.9","7,230","±1,386","66.5%","±8.3","25,459","±2,089","16.2%","±4.3","22,091","±1,615","9.4%","±2.3","1,997","±635","45.6%","±13.8","31,473","±2,347","18.8%","±3.6","26,108","±2,134","8.9%","±2.4","4,351","±1,114","67.9%","±12.2"
"        1 worker","231,095","±5,778","14.1%","±1.2","128,987","±4,399","7.1%","±1.1","68,338","±4,040","27.6%","±2.8","370,961","±8,714","10.1%","±0.7","207,670","±6,055","5.1%","±0.7","103,491","±4,915","22.4%","±2.1","139,634","±4,482","12.0%","±1.6","78,653","±3,354","6.2%","±1.7","43,902","±3,238","22.3%","±3.1","53,666","±2,652","9.2%","±1.8","30,145","±2,189","5.1%","±1.8","14,392","±2,061","19.6%","±4.7","61,761","±3,693","13.3%","±2.7","34,812","±2,782","7.6%","±2.6","15,641","±2,062","25.6%","±6.3"
"        2 workers","375,836","±8,593","2.4%","±0.5","330,804","±8,082","1.7%","±0.5","30,299","±2,790","9.2%","±3.1","682,628","±10,918","1.8%","±0.3","588,178","±9,794","1.2%","±0.2","61,492","±4,491","7.6%","±2.3","243,853","±5,464","1.9%","±0.5","213,310","±5,299","1.3%","±0.4","19,584","±2,729","7.2%","±3.8","94,035","±4,560","1.0%","±0.5","86,186","±4,315","0.4%","±0.3","4,156","±953","6.5%","±5.4","113,973","±4,474","2.6%","±0.9","99,827","±4,450","1.4%","±0.6","8,964","±1,630","14.3%","±8.8"
"        3 or more workers","93,968","±4,074","0.6%","±0.3","81,141","±3,766","0.5%","±0.3","8,487","±1,676","0.4%","±0.7","191,274","±5,875","1.0%","±0.4","167,407","±5,466","0.7%","±0.3","16,572","±2,217","3.9%","±3.2","61,121","±3,300","1.4%","±0.8","53,161","±3,086","0.7%","±0.4","5,307","±1,394","5.3%","±5.5","18,837","±2,348","1.6%","±1.0","16,989","±2,346","1.2%","±0.9","1,324","±588","6.7%","±10.9","24,483","±2,240","1.8%","±1.0","21,416","±1,933","1.5%","±1.1","1,877","±723","6.8%","±6.4"
"    INCOME DEFICIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Mean income deficit for families (dollars)","11,778","±636","(X)","(X)","10,537","±1,013","(X)","(X)","12,616","±1,058","(X)","(X)","12,472","±548","(X)","(X)","11,910","±933","(X)","(X)","12,910","±885","(X)","(X)","12,274","±862","(X)","(X)","10,786","±1,166","(X)","(X)","13,584","±1,403","(X)","(X)","12,751","±1,587","(X)","(X)","10,779","±1,981","(X)","(X)","12,731","±2,079","(X)","(X)","14,053","±1,337","(X)","(X)","13,495","±2,425","(X)","(X)","13,999","±1,647","(X)","(X)"
"    TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Owner occupied","679,576","±8,572","4.1%","±0.4","574,050","±8,709","2.4%","±0.3","68,442","±4,362","15.5%","±2.3","1,212,988","±11,004","3.1%","±0.2","1,020,861","±10,468","2.1%","±0.2","113,986","±5,140","9.2%","±1.2","402,169","±6,471","3.6%","±0.4","343,253","±6,338","2.3%","±0.4","38,791","±2,333","13.5%","±2.4","153,803","±4,321","3.5%","±0.6","131,823","±4,145","2.4%","±0.6","12,637","±1,713","12.9%","±4.1","185,815","±5,230","4.1%","±0.8","159,761","±5,001","2.9%","±0.7","14,523","±2,057","10.8%","±3.6"
"        Renter Occupied","140,216","±6,294","20.6%","±2.1","70,854","±4,443","12.2%","±2.7","50,181","±3,713","33.4%","±3.9","234,384","±8,791","17.5%","±1.3","119,379","±6,041","8.6%","±1.4","86,118","±6,079","32.5%","±2.6","105,331","±4,969","17.9%","±2.3","55,642","±3,812","10.4%","±2.3","37,232","±3,676","29.7%","±4.6","38,194","±3,876","12.7%","±3.4","23,588","±2,835","4.3%","±1.5","9,232","±2,058","26.8%","±8.5","45,875","±3,866","21.5%","±3.7","22,402","±2,465","9.3%","±3.1","16,310","±2,650","41.6%","±7.0"
"    ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","21,150","±2,271","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33,240","±2,502","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","14,837","±2,056","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4,928","±1,291","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","7,126","±1,445","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","78,200","±4,619","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","107,564","±4,707","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46,450","±3,618","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","14,459","±1,934","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24,334","±2,573","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","102,019","±5,271","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","141,267","±5,458","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","61,590","±3,658","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","18,963","±2,353","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30,906","±2,721","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","141,249","±6,632","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","196,747","±7,099","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","84,888","±3,737","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26,659","±2,629","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42,530","±3,274","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","161,244","±6,786","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","220,235","±7,299","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","97,392","±3,828","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30,162","±2,754","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","47,387","±3,511","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","298,647","±7,862","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","416,965","±9,773","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","179,214","±5,193","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","58,897","±3,927","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","82,863","±3,567","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","427,766","±7,443","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","622,175","±9,918","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","257,526","±5,773","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","85,310","±4,515","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","121,009","±4,466","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","539,759","±7,698","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","822,129","±12,230","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","325,376","±5,944","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","115,005","±4,541","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","149,632","±4,713","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
