"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"        High school graduate or higher","40,457","±3,069","78.3%","±4.0","20,014","±2,103","79.8%","±5.0","20,443","±1,631","76.9%","±4.3","158,968","±3,630","83.3%","±1.5","78,668","±2,138","85.8%","±1.8","80,300","±2,547","81.0%","±2.1","25,000","±1,930","79.4%","±4.7","11,857","±1,272","80.2%","±5.3","13,143","±1,168","78.7%","±5.7","7,917","±1,061","91.0%","±5.4","3,349","±687","91.7%","±7.7","4,568","±935","90.6%","±6.6","7,023","±1,491","76.9%","±10.4","2,863","±846","74.5%","±13.8","4,160","±1,091","78.7%","±12.1"
"        Bachelor's degree or higher","26,051","±2,833","50.4%","±4.6","12,918","±1,849","51.5%","±6.4","13,133","±1,518","49.4%","±4.8","92,782","±4,755","48.6%","±2.4","43,793","±2,980","47.8%","±3.0","48,989","±3,263","49.4%","±3.1","13,739","±2,114","43.6%","±5.9","6,298","±1,278","42.6%","±7.4","7,441","±1,307","44.6%","±7.1","5,162","±882","59.4%","±9.7","2,658","±602","72.7%","±13.0","2,504","±657","49.7%","±13.9","2,975","±825","32.6%","±8.3","1,336","±585","34.7%","±13.3","1,639","±616","31.0%","±11.5"
"    Native Hawaiian and Other Pacific Islander alone","2,309","±1,001","(X)","(X)","1,144","±593","(X)","(X)","1,165","±562","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","1,955","±897","84.7%","±12.3","919","±528","80.3%","±19.1","1,036","±530","88.9%","±8.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","380","±379","16.5%","±15.5","45","±76","3.9%","±7.0","335","±379","28.8%","±26.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","41,618","±4,275","(X)","(X)","22,647","±2,616","(X)","(X)","18,971","±2,461","(X)","(X)","94,385","±5,700","(X)","(X)","50,033","±3,251","(X)","(X)","44,352","±3,528","(X)","(X)","53,293","±4,264","(X)","(X)","28,764","±2,710","(X)","(X)","24,529","±2,131","(X)","(X)","6,983","±1,860","(X)","(X)","3,865","±1,269","(X)","(X)","3,118","±1,037","(X)","(X)","8,919","±1,815","(X)","(X)","3,824","±1,027","(X)","(X)","5,095","±1,092","(X)","(X)"
"        High school graduate or higher","27,883","±3,940","67.0%","±4.8","14,505","±2,278","64.0%","±5.9","13,378","±2,321","70.5%","±5.8","66,777","±4,832","70.7%","±3.6","33,815","±2,740","67.6%","±4.6","32,962","±3,380","74.3%","±4.1","34,992","±3,749","65.7%","±3.8","18,539","±2,443","64.5%","±5.2","16,453","±2,198","67.1%","±5.9","5,665","±1,696","81.1%","±9.4","2,985","±1,100","77.2%","±13.9","2,680","±982","86.0%","±9.1","6,146","±1,421","68.9%","±7.2","3,028","±887","79.2%","±10.1","3,118","±884","61.2%","±11.3"
"        Bachelor's degree or higher","6,878","±1,823","16.5%","±3.7","4,045","±1,202","17.9%","±4.6","2,833","±888","14.9%","±4.2","20,462","±2,596","21.7%","±2.4","10,803","±1,947","21.6%","±3.5","9,659","±1,400","21.8%","±2.9","7,972","±1,729","15.0%","±3.0","4,481","±1,319","15.6%","±4.2","3,491","±885","14.2%","±3.4","1,738","±718","24.9%","±9.6","741","±461","19.2%","±11.1","997","±593","32.0%","±16.2","1,727","±802","19.4%","±7.8","764","±425","20.0%","±10.4","963","±545","18.9%","±9.4"
"    Two or more races","103,025","±7,048","(X)","(X)","50,835","±4,571","(X)","(X)","52,190","±4,251","(X)","(X)","193,223","±8,255","(X)","(X)","96,295","±5,863","(X)","(X)","96,928","±4,450","(X)","(X)","90,611","±4,763","(X)","(X)","44,306","±3,732","(X)","(X)","46,305","±3,065","(X)","(X)","25,129","±3,148","(X)","(X)","12,883","±2,217","(X)","(X)","12,246","±1,934","(X)","(X)","29,109","±2,683","(X)","(X)","14,480","±1,932","(X)","(X)","14,629","±1,782","(X)","(X)"
"        High school graduate or higher","85,639","±5,675","83.1%","±2.2","42,059","±3,911","82.7%","±2.7","43,580","±3,860","83.5%","±3.2","174,921","±7,951","90.5%","±1.2","86,175","±5,403","89.5%","±1.5","88,746","±4,453","91.6%","±1.7","72,583","±4,643","80.1%","±2.4","33,475","±3,278","75.6%","±3.9","39,108","±3,005","84.5%","±2.7","22,998","±3,007","91.5%","±2.9","12,070","±2,194","93.7%","±3.5","10,928","±1,754","89.2%","±4.2","26,052","±2,666","89.5%","±3.3","12,708","±1,807","87.8%","±4.7","13,344","±1,775","91.2%","±4.1"
"        Bachelor's degree or higher","24,005","±2,620","23.3%","±2.1","11,586","±1,842","22.8%","±2.8","12,419","±1,680","23.8%","±2.8","68,544","±4,616","35.5%","±2.0","31,276","±2,970","32.5%","±2.6","37,268","±2,958","38.4%","±2.7","22,991","±3,039","25.4%","±2.8","10,618","±2,132","24.0%","±4.0","12,373","±1,849","26.7%","±3.3","6,972","±1,736","27.7%","±5.5","2,627","±1,047","20.4%","±7.2","4,345","±1,290","35.5%","±8.3","8,410","±1,850","28.9%","±5.3","4,313","±1,176","29.8%","±7.0","4,097","±1,139","28.0%","±7.0"
"    Hispanic or Latino Origin","121,279","±2,513","(X)","(X)","60,859","±2,367","(X)","(X)","60,420","±1,985","(X)","(X)","193,216","±2,028","(X)","(X)","100,511","±1,805","(X)","(X)","92,705","±1,599","(X)","(X)","127,631","±1,581","(X)","(X)","64,974","±1,677","(X)","(X)","62,657","±1,368","(X)","(X)","18,127","±1,943","(X)","(X)","10,091","±1,464","(X)","(X)","8,036","±1,503","(X)","(X)","22,131","±1,442","(X)","(X)","10,788","±1,370","(X)","(X)","11,343","±933","(X)","(X)"
"        High school graduate or higher","85,698","±3,901","70.7%","±2.6","41,532","±2,797","68.2%","±3.4","44,166","±2,760","73.1%","±3.4","148,215","±4,753","76.7%","±2.1","75,199","±3,444","74.8%","±2.9","73,016","±2,638","78.8%","±2.2","86,872","±2,837","68.1%","±2.2","41,231","±2,114","63.5%","±3.2","45,641","±2,044","72.8%","±3.1","14,993","±1,804","82.7%","±6.1","8,480","±1,419","84.0%","±8.7","6,513","±1,317","81.0%","±8.6","15,921","±1,488","71.9%","±5.2","7,576","±1,248","70.2%","±6.2","8,345","±942","73.6%","±7.2"
"        Bachelor's degree or higher","21,592","±2,743","17.8%","±2.2","9,694","±1,785","15.9%","±2.9","11,898","±1,836","19.7%","±2.9","49,221","±4,236","25.5%","±2.1","24,056","±2,822","23.9%","±2.7","25,165","±2,602","27.1%","±2.7","21,651","±2,397","17.0%","±1.9","11,329","±1,803","17.4%","±2.8","10,322","±1,425","16.5%","±2.3","3,733","±1,350","20.6%","±6.7","1,224","±707","12.1%","±6.5","2,509","±957","31.2%","±10.8","4,450","±1,265","20.1%","±5.3","1,971","±721","18.3%","±6.2","2,479","±841","21.9%","±7.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.4%","±2.6","(X)","(X)","21.8%","±2.9","(X)","(X)","25.3%","±3.3","(X)","(X)","22.6%","±1.5","(X)","(X)","17.8%","±1.6","(X)","(X)","28.1%","±2.3","(X)","(X)","21.8%","±2.6","(X)","(X)","17.0%","±2.9","(X)","(X)","27.6%","±3.7","(X)","(X)","19.7%","±3.6","(X)","(X)","16.1%","±4.0","(X)","(X)","24.7%","±6.4","(X)","(X)","31.1%","±4.2","(X)","(X)","24.3%","±4.6","(X)","(X)","38.3%","±6.2"
"    High school graduate (includes equivalency)","(X)","(X)","13.0%","±0.8","(X)","(X)","10.2%","±0.8","(X)","(X)","16.3%","±1.2","(X)","(X)","12.5%","±0.6","(X)","(X)","10.7%","±0.7","(X)","(X)","14.5%","±0.9","(X)","(X)","12.9%","±1.0","(X)","(X)","11.1%","±1.4","(X)","(X)","14.9%","±1.3","(X)","(X)","12.5%","±1.4","(X)","(X)","10.5%","±1.9","(X)","(X)","15.0%","±2.3","(X)","(X)","12.5%","±1.2","(X)","(X)","11.2%","±1.4","(X)","(X)","14.2%","±2.2"
"    Some college or associate's degree","(X)","(X)","8.0%","±0.5","(X)","(X)","6.0%","±0.6","(X)","(X)","9.6%","±0.7","(X)","(X)","7.7%","±0.4","(X)","(X)","6.5%","±0.5","(X)","(X)","8.9%","±0.6","(X)","(X)","7.7%","±0.7","(X)","(X)","6.1%","±0.8","(X)","(X)","9.2%","±1.0","(X)","(X)","8.3%","±1.4","(X)","(X)","6.0%","±1.7","(X)","(X)","10.7%","±2.0","(X)","(X)","8.5%","±1.2","(X)","(X)","6.1%","±1.2","(X)","(X)","10.6%","±1.7"
"    Bachelor's degree or higher","(X)","(X)","3.5%","±0.4","(X)","(X)","3.0%","±0.5","(X)","(X)","3.9%","±0.5","(X)","(X)","3.5%","±0.3","(X)","(X)","3.0%","±0.4","(X)","(X)","3.8%","±0.4","(X)","(X)","4.3%","±0.5","(X)","(X)","4.5%","±0.8","(X)","(X)","4.1%","±0.7","(X)","(X)","3.3%","±0.6","(X)","(X)","2.9%","±0.8","(X)","(X)","3.7%","±0.8","(X)","(X)","4.7%","±0.9","(X)","(X)","4.7%","±1.2","(X)","(X)","4.7%","±1.0"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","49,828","±737","(X)","(X)","56,307","±811","(X)","(X)","41,475","±540","(X)","(X)","56,612","±458","(X)","(X)","63,364","±1,373","(X)","(X)","49,703","±782","(X)","(X)","50,478","±376","(X)","(X)","56,717","±872","(X)","(X)","42,344","±697","(X)","(X)","52,196","±724","(X)","(X)","62,134","±1,257","(X)","(X)","42,521","±2,107","(X)","(X)","47,960","±1,676","(X)","(X)","55,191","±1,858","(X)","(X)","41,467","±603","(X)","(X)"
"        Less than high school graduate","34,315","±2,882","(X)","(X)","39,671","±2,139","(X)","(X)","27,802","±2,355","(X)","(X)","36,832","±1,263","(X)","(X)","41,975","±1,269","(X)","(X)","29,934","±3,250","(X)","(X)","39,451","±2,176","(X)","(X)","45,154","±3,636","(X)","(X)","30,200","±4,413","(X)","(X)","39,889","±5,239","(X)","(X)","50,190","±16,329","(X)","(X)","35,428","±7,833","(X)","(X)","29,330","±4,362","(X)","(X)","41,048","±2,202","(X)","(X)","19,393","±7,687","(X)","(X)"
"        High school graduate (includes equivalency)","40,533","±558","(X)","(X)","50,029","±1,258","(X)","(X)","30,317","±880","(X)","(X)","42,435","±722","(X)","(X)","50,385","±415","(X)","(X)","32,679","±1,210","(X)","(X)","39,565","±1,461","(X)","(X)","45,131","±1,949","(X)","(X)","32,312","±1,270","(X)","(X)","41,665","±1,512","(X)","(X)","51,932","±2,220","(X)","(X)","30,149","±2,693","(X)","(X)","39,793","±2,261","(X)","(X)","45,644","±1,831","(X)","(X)","31,848","±1,582","(X)","(X)"
"        Some college or associate's degree","45,703","±724","(X)","(X)","55,384","±1,195","(X)","(X)","38,028","±1,586","(X)","(X)","50,406","±409","(X)","(X)","60,382","±476","(X)","(X)","41,486","±494","(X)","(X)","45,546","±759","(X)","(X)","55,145","±2,076","(X)","(X)","37,092","±901","(X)","(X)","50,273","±1,105","(X)","(X)","60,450","±1,694","(X)","(X)","37,744","±2,045","(X)","(X)","45,724","±1,305","(X)","(X)","53,914","±2,656","(X)","(X)","38,482","±2,190","(X)","(X)"
"        Bachelor's degree","60,754","±724","(X)","(X)","72,304","±2,185","(X)","(X)","51,983","±1,039","(X)","(X)","71,254","±687","(X)","(X)","82,099","±1,252","(X)","(X)","61,364","±593","(X)","(X)","61,239","±958","(X)","(X)","74,662","±3,583","(X)","(X)","51,745","±834","(X)","(X)","61,164","±1,097","(X)","(X)","75,314","±5,272","(X)","(X)","51,819","±2,327","(X)","(X)","56,517","±1,358","(X)","(X)","63,884","±5,159","(X)","(X)","50,405","±1,388","(X)","(X)"
"        Graduate or professional degree","75,037","±1,973","(X)","(X)","90,408","±3,882","(X)","(X)","69,987","±3,033","(X)","(X)","83,613","±1,831","(X)","(X)","99,058","±3,067","(X)","(X)","76,841","±1,287","(X)","(X)","72,775","±2,471","(X)","(X)","91,174","±4,399","(X)","(X)","65,902","±1,608","(X)","(X)","75,821","±4,982","(X)","(X)","94,978","±8,443","(X)","(X)","67,778","±3,058","(X)","(X)","67,405","±3,602","(X)","(X)","77,289","±12,406","(X)","(X)","61,552","±2,316","(X)","(X)"
