"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Moved; within same county!!Estimate","Iowa!!Moved; within same county!!Margin of Error","Iowa!!Moved; from different county, same state!!Estimate","Iowa!!Moved; from different county, same state!!Margin of Error","Iowa!!Moved; from different  state!!Estimate","Iowa!!Moved; from different  state!!Margin of Error","Iowa!!Moved; from abroad!!Estimate","Iowa!!Moved; from abroad!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Moved; within same county!!Estimate","Minnesota!!Moved; within same county!!Margin of Error","Minnesota!!Moved; from different county, same state!!Estimate","Minnesota!!Moved; from different county, same state!!Margin of Error","Minnesota!!Moved; from different  state!!Estimate","Minnesota!!Moved; from different  state!!Margin of Error","Minnesota!!Moved; from abroad!!Estimate","Minnesota!!Moved; from abroad!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Moved; within same county!!Estimate","Nebraska!!Moved; within same county!!Margin of Error","Nebraska!!Moved; from different county, same state!!Estimate","Nebraska!!Moved; from different county, same state!!Margin of Error","Nebraska!!Moved; from different  state!!Estimate","Nebraska!!Moved; from different  state!!Margin of Error","Nebraska!!Moved; from abroad!!Estimate","Nebraska!!Moved; from abroad!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Moved; within same county!!Estimate","North Dakota!!Moved; within same county!!Margin of Error","North Dakota!!Moved; from different county, same state!!Estimate","North Dakota!!Moved; from different county, same state!!Margin of Error","North Dakota!!Moved; from different  state!!Estimate","North Dakota!!Moved; from different  state!!Margin of Error","North Dakota!!Moved; from abroad!!Estimate","North Dakota!!Moved; from abroad!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Moved; within same county!!Estimate","South Dakota!!Moved; within same county!!Margin of Error","South Dakota!!Moved; from different county, same state!!Estimate","South Dakota!!Moved; from different county, same state!!Margin of Error","South Dakota!!Moved; from different  state!!Estimate","South Dakota!!Moved; from different  state!!Margin of Error","South Dakota!!Moved; from abroad!!Estimate","South Dakota!!Moved; from abroad!!Margin of Error"
"        $65,000 to $74,999","141,968","±5,988","4.4%","±0.9","3.0%","±0.7","2.1%","±0.7","0.1%","±0.1","280,762","±7,443","4.2%","±0.8","3.3%","±0.7","1.7%","±0.4","0.3%","±0.2","85,922","±3,748","6.0%","±1.7","2.0%","±0.9","3.3%","±1.2","0.4%","±0.4","37,848","±2,929","6.4%","±2.3","4.2%","±2.0","1.2%","±0.9","0.0%","±0.1","45,567","±2,893","3.4%","±1.6","1.8%","±0.9","1.4%","±1.0","0.2%","±0.3"
"        $75,000 or more","469,819","±9,944","3.1%","±0.5","1.9%","±0.3","1.7%","±0.3","0.3%","±0.2","1,121,304","±14,870","3.9%","±0.4","2.5%","±0.3","1.5%","±0.2","0.2%","±0.1","301,711","±7,102","3.5%","±0.6","2.3%","±0.5","2.1%","±0.5","0.1%","±0.1","135,508","±4,749","6.0%","±1.3","1.6%","±0.6","2.1%","±0.8","0.3%","±0.2","125,098","±4,507","3.1%","±0.9","1.9%","±0.6","3.4%","±1.0","0.2%","±0.2"
"        Median income (dollars)","39,441","±681","31,903","±1,341","30,156","±2,380","26,726","±4,254","30,032","±5,334","45,356","±364","36,475","±1,409","33,203","±2,264","36,153","±2,567","24,531","±6,772","40,694","±354","31,514","±1,325","35,217","±4,077","32,498","±4,860","32,623","±7,296","42,297","±711","33,995","±3,269","28,283","±4,400","22,078","±4,026","26,953","±14,777","40,369","±564","36,079","±2,304","23,108","±3,653","31,589","±5,826","28,099","±11,013"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","3,073,077","±3,156","5.9%","±0.4","3.0%","±0.2","2.0%","±0.2","0.5%","±0.1","5,554,354","±4,033","4.9%","±0.3","3.7%","±0.2","1.6%","±0.1","0.5%","±0.1","1,909,579","±2,412","6.4%","±0.5","2.8%","±0.3","2.4%","±0.3","0.6%","±0.2","746,204","±1,804","7.7%","±0.8","2.4%","±0.4","3.7%","±0.6","0.9%","±0.2","878,748","±1,750","4.5%","±0.6","2.6%","±0.4","3.1%","±0.5","0.2%","±0.1"
"        Below 100 percent of the poverty level","345,370","±13,823","12.6%","±1.7","5.3%","±0.8","3.7%","±0.6","1.3%","±0.9","512,474","±16,789","10.7%","±1.4","7.3%","±1.0","2.2%","±0.4","1.2%","±0.3","198,693","±12,471","13.1%","±2.4","4.4%","±0.9","3.7%","±0.9","1.2%","±0.5","73,073","±5,282","10.4%","±2.4","4.3%","±1.3","6.3%","±2.2","1.8%","±0.8","103,913","±8,538","6.1%","±1.5","4.2%","±1.2","7.0%","±2.5","0.5%","±0.3"
"        100 to 149 percent of the poverty level","217,414","±14,808","8.2%","±1.4","2.8%","±0.6","1.8%","±0.6","0.7%","±0.5","330,965","±15,764","7.1%","±1.1","5.5%","±1.5","1.5%","±0.4","0.9%","±0.4","137,121","±11,462","10.1%","±2.8","2.9%","±0.9","3.8%","±1.6","1.5%","±1.4","40,846","±4,294","8.7%","±3.1","4.3%","±2.5","8.1%","±3.3","2.2%","±3.1","69,574","±6,424","4.5%","±1.9","3.4%","±1.0","3.1%","±2.2","0.2%","±0.2"
"        At or above 150 percent of the poverty level","2,510,293","±19,577","4.8%","±0.4","2.7%","±0.2","1.8%","±0.2","0.3%","±0.1","4,710,915","±21,292","4.1%","±0.2","3.2%","±0.2","1.5%","±0.1","0.4%","±0.1","1,573,765","±13,074","5.2%","±0.5","2.6%","±0.3","2.1%","±0.3","0.5%","±0.2","632,285","±6,479","7.4%","±0.9","2.0%","±0.4","3.1%","±0.6","0.7%","±0.2","705,261","±8,406","4.2%","±0.6","2.2%","±0.4","2.5%","±0.5","0.2%","±0.1"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","3,072,958","±2,496","6.0%","±0.4","3.0%","±0.2","2.0%","±0.2","0.5%","±0.1","5,532,750","±3,493","4.8%","±0.3","3.7%","±0.2","1.6%","±0.1","0.5%","±0.1","1,908,562","±2,171","6.3%","±0.5","2.8%","±0.3","2.4%","±0.3","0.7%","±0.2","746,154","±1,327","7.7%","±0.8","2.4%","±0.4","3.7%","±0.6","0.9%","±0.3","874,978","±1,593","4.5%","±0.6","2.5%","±0.4","3.0%","±0.5","0.2%","±0.1"
"        Householder lived in owner-occupied housing units","2,338,378","±20,494","3.5%","±0.3","1.8%","±0.2","1.1%","±0.2","0.2%","±0.1","4,272,605","±30,176","2.5%","±0.2","2.3%","±0.2","0.9%","±0.1","0.3%","±0.1","1,369,180","±15,436","3.1%","±0.4","1.7%","±0.3","1.4%","±0.2","0.3%","±0.1","530,990","±8,957","4.3%","±0.7","1.3%","±0.3","1.2%","±0.3","0.4%","±0.2","647,433","±11,124","2.9%","±0.6","1.5%","±0.4","1.8%","±0.5","0.1%","±0.1"
"        Householder lived in renter-occupied housing units","734,580","±20,505","13.9%","±1.2","6.6%","±0.6","4.7%","±0.6","1.3%","±0.5","1,260,145","±29,852","12.5%","±1.0","8.2%","±0.7","3.9%","±0.4","1.3%","±0.3","539,382","±15,428","14.5%","±1.6","5.7%","±0.7","4.8%","±0.7","1.5%","±0.4","215,164","±8,625","16.3%","±2.1","5.1%","±1.0","9.8%","±1.9","2.0%","±0.8","227,545","±11,276","9.1%","±1.5","5.2%","±0.9","6.3%","±1.4","0.4%","±0.2"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","8.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","9.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","10.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","9.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
